,Rk,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cuenta,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
Media,109.00,26.59,8.71,4.01,19.43,3.05,6.74,0.44,0.93,2.70,0.27,2.11,4.04,0.49,0.50,1.44,1.83,0.62,0.77,2.63,3.40,1.83,0.58,0.36,1.09,1.78,8.46
Desviac,62.79,4.24,5.80,5.94,12.88,2.70,5.87,0.18,0.97,2.54,0.20,2.16,4.09,0.22,0.21,1.80,2.22,0.34,0.85,2.20,2.84,2.01,0.50,0.45,1.13,1.18,7.63
min,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,55,23,5,0,7.6,1,2,0.37,0,0.5,0,0.5,1.1,0.41,0.432,0.2,0.3,0.5,0.2,1,1.2,0.4,0.2,0,0.3,0.8,2.1
50%,109,26,6,0,18.4,2.3,4.7,0.439,0.7,2.2,0.331,1.3,2.6,0.5,0.521,0.8,1,0.75,0.5,2,2.8,1,0.5,0.2,0.8,1.8,6
75%,163,29,12,6,31.2,4.5,10,0.5,1.5,4.4,0.393,3,5.8,0.622,0.596,2,2.5,0.857,1,3.7,4.8,2.7,0.9,0.5,1.5,2.8,12.6
max,217,38,24,24,44,12.2,23.8,1,4.1,10.4,1,11.2,20.3,1,1.5,8.5,11.2,1,5.5,12,14.3,9.8,2.1,2.5,6.2,4.7,31.7
