,Rk,Pk,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP
count,50.0,50.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0,39.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
mean,35.5,35.5,1.0,40.51162790697674,682.3720930232558,261.1162790697674,111.76744186046511,52.58139534883721,0.44419047619047614,0.3027179487179487,0.696975,13.913953488372094,5.223255813953489,2.4023255813953486,0.9953488372093025,0.7906976744186045,0.03890697674418605,-3.313953488372093,-0.11162790697674418
std,14.577379737113251,14.577379737113251,0.0,21.663412312032182,591.4592133929606,235.3269467603303,89.25000659178376,59.789007015599495,0.14543563459318973,0.09950296179615874,0.14004129198753654,7.3680643382793045,3.171212567344993,1.366693676636642,0.7791795099645624,0.9963777141627452,0.11542546841875896,5.858432318963871,0.3267511812384969
min,11.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,-0.5,-0.495,-27.7,-0.8
25%,23.25,23.25,1.0,23.5,226.5,68.0,42.5,11.0,0.396,0.257,0.6245,8.6,2.3,1.4,0.45,0.05,0.0195,-4.800000000000001,-0.3
50%,35.5,35.5,1.0,41.0,541.0,198.0,94.0,26.0,0.4325,0.318,0.714,13.3,5.4,2.4,0.7,0.4,0.051,-3.0,-0.1
75%,47.75,47.75,1.0,53.5,1037.0,354.5,170.0,77.0,0.47125,0.362,0.8075,19.15,7.7,3.05,1.45,1.25,0.0945,-1.5,0.0
max,60.0,60.0,1.0,78.0,2335.0,742.0,393.0,256.0,1.0,0.5,0.882,29.9,13.1,5.6,3.3,4.6,0.22,17.1,0.9
