,0
Rk,118.4375
Age,21.3125
G,8.625
GS,4.6875
MP,28.3625
FG,5.025
FGA,10.91875
FG%,0.47587500000000005
3P,1.53125
3PA,4.34375
3P%,0.28274999999999995
2P,3.5062499999999996
2PA,6.575
2P%,0.507
eFG%,0.5451874999999999
FT,2.7249999999999996
FTA,3.6812500000000004
FT%,0.75825
ORB,1.13125
DRB,4.24375
TRB,5.362500000000001
AST,2.6437500000000003
STL,0.90625
BLK,0.7999999999999999
TOV,1.63125
PF,2.5875
PTS,14.293750000000001
