,Rk,Pk,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP
count,50.0,50.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.0,42.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
mean,25.5,25.5,1.0,47.8,996.6666666666666,417.1333333333333,161.48888888888888,94.4,0.43357777777777784,0.30386046511627907,0.7206904761904762,17.46,7.135555555555556,2.9377777777777774,1.5799999999999998,1.0755555555555556,0.030022222222222228,-3.3311111111111105,-0.039999999999999994
std,14.577379737113251,14.577379737113251,0.0,22.32365235675951,776.2522141675346,357.2559942877732,138.85123206678668,99.44742786563617,0.1315592657475725,0.08175444691424869,0.12172189175113501,9.518293391722546,4.66320975858102,1.9146906810345123,1.473955716616159,1.6102167493222703,0.10872682383948416,5.555211403481756,0.5536654716933814
min,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,-1.6,-0.495,-27.7,-1.2
25%,13.25,13.25,1.0,32.0,360.0,121.0,52.0,19.0,0.402,0.257,0.6695,9.8,3.2,1.7,0.6,0.1,0.01,-4.7,-0.3
50%,25.5,25.5,1.0,49.0,864.0,288.0,147.0,63.0,0.426,0.314,0.7244999999999999,17.6,6.4,2.7,1.0,0.4,0.044,-2.9,-0.1
75%,37.75,37.75,1.0,67.0,1489.0,674.0,214.0,167.0,0.468,0.3525,0.804,23.4,9.6,3.6,2.1,1.5,0.087,-1.5,0.1
max,50.0,50.0,1.0,79.0,2617.0,1197.0,570.0,356.0,1.0,0.5,0.882,35.4,17.4,8.3,6.4,6.6,0.152,17.1,1.9
